,Serial,Model,Target Timestamp,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,TARGET
0,1554481,model 20,2017-02-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0
1,1555490,model 13,2017-02-12 00:00:00,947.0,879.0,1161.0,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,5.0,6.0,6.0,6.0,11.0,5.0,4.0,6.0,5.0,7.0,812.0
2,1558041,model 18,2017-02-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1612713,model 18,2017-02-12 00:00:00,431.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1625343,model 10,2017-02-12 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1554481,model 20,2017-02-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
6,1555490,model 13,2017-02-19 00:00:00,879.0,1161.0,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,6.0,6.0,6.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,1020.0
7,1558041,model 18,2017-02-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1612713,model 18,2017-02-19 00:00:00,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1625343,model 10,2017-02-19 00:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1554481,model 20,2017-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.0
11,1555490,model 13,2017-02-26 00:00:00,1161.0,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,6.0,6.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,2576.0
12,1558041,model 18,2017-02-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1612713,model 18,2017-02-26 00:00:00,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1625343,model 10,2017-02-26 00:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1554481,model 20,2017-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0
16,1555490,model 13,2017-03-05 00:00:00,484.0,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,2576.0,6.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,1216.0
17,1558041,model 18,2017-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1612713,model 18,2017-03-05 00:00:00,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1625343,model 10,2017-03-05 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1554481,model 20,2017-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,1578.0,387.0,116.0,1774.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1555490,model 13,2017-03-12 00:00:00,137.0,414.0,1422.0,901.0,2026.0,1188.0,812.0,1020.0,2576.0,1216.0,11.0,5.0,4.0,6.0,5.0,7.0,5.0,6.0,6.0,9.0,1212.0
22,1558041,model 18,2017-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1612713,model 18,2017-03-12 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
